10000 200013
1 4857 4962
1 7708 1318
1 6257 2283
1 1864 2489
1 2974 1372
1 1572 1288
1 1621 607
1 4672 510
1 963 1961
1 983 251
1 9034 3710
1 1539 1331
1 1623 3281
1 187 4400
1 6973 2162
1 6503 1979
1 3591 2190
1 5037 2644
1 8761 3143
1 1083 4350
1 4290 424
1 4710 3514
1 3834 204
1 9400 3842
1 3437 834
1 6344 329
1 9544 2311
1 8972 4500
1 3456 2862
1 5947 1508
1 4605 3837
1 9165 3050
1 5248 490
1 1949 3016
1 1911 4887
1 2084 4701
1 4503 1715
1 5781 523
1 7797 698
1 5094 3896
2 478 1216
2 3842 4311
2 1992 483
2 5662 180
2 6364 1145
2 2828 331
2 1980 1157
2 674 3851
2 1003 4923
2 9092 3565
2 6673 652
2 5740 4649
2 1228 2588
2 4473 251
2 4877 2441
2 4159 514
2 468 2912
2 1810 4457
2 5204 3519
2 6505 4940
2 8196 401
2 9656 579
2 2764 3387
2 3212 3688
2 2016 120
2 9715 2871
2 1679 2694
2 4509 2694
2 9327 2921
2 3994 1978
2 3449 4941
2 9472 3189
2 5536 1207
2 5562 612
2 1943 4757
2 5347 1330
2 2709 4200
2 4109 2074
2 1728 3925
2 4801 3778
2 2142 3377
2 6447 34
2 618 4307
2 4083 4444
2 8858 4045
2 3627 4312
2 9704 1495
2 686 2977
3 8305 3586
3 4111 1921
3 3443 4711
3 2578 246
3 4123 4174
3 6524 3101
3 6806 1977
3 463 1599
3 8849 4801
3 1749 3674
3 4482 4199
3 6307 909
3 6129 1357
3 9068 3841
3 9719 933
3 4709 46
3 5410 578
3 3802 2647
3 2795 1511
3 146 2665
3 9185 315
3 8357 4828
3 9798 3087
3 9669 3085
3 6857 710
3 8692 3828
3 2279 2682
3 1842 2761
3 3708 4383
3 2183 1700
3 5406 2853
3 1952 1584
3 923 4225
3 7246 3122
3 5478 1650
3 1154 3713
3 2703 1672
3 490 4702
3 5601 1583
3 4013 4746
3 3093 737
3 5785 3880
3 1392 4385
3 8674 4882
3 6807 2291
3 6989 4911
4 5910 191
4 1628 606
4 3643 2629
4 9969 925
4 2763 675
4 3997 3615
4 617 4715
4 3738 3889
4 2272 2874
4 1756 1948
4 3761 1056
4 9141 1897
4 6516 638
4 5868 3515
4 154 1117
4 6601 654
4 4980 4752
4 1665 3122
4 9269 4942
4 648 1424
4 199 99
4 3593 2790
4 6837 282
4 2773 1982
4 3800 1791
4 1725 4568
4 9723 1385
4 3986 3911
4 5946 3068
4 4695 2272
4 9276 615
4 9383 3845
5 716 1742
5 1191 695
5 5730 353
5 8880 1417
5 7163 3486
5 5722 4712
5 9076 2861
5 9807 2695
5 4622 188
5 8856 3538
5 1700 2643
5 6502 1506
5 1687 2022
5 7670 1621
5 1087 931
5 9391 509
5 821 4745
5 1826 151
5 8210 500
5 8575 1775
5 108 493
5 2140 4371
5 8645 1479
5 6052 2840
5 4883 1640
5 6086 3654
5 3012 543
5 7019 4635
5 5419 4014
5 9127 411
5 4709 1166
5 3791 3037
5 1776 4284
5 755 2363
5 6963 4289
5 4500 1310
5 8844 461
5 9791 4023
6 3122 3914
6 5734 3318
6 7834 1126
6 4937 4495
6 1798 3044
6 7494 1600
6 3359 2654
6 3281 275
6 4905 1084
6 8193 2898
6 8327 4938
6 7989 25
6 7674 807
6 9306 2570
6 2255 3034
6 7445 2241
6 9793 57
6 3024 3711
6 429 1232
6 5745 3861
6 6259 3630
6 225 1048
6 7894 589
6 437 884
6 7299 595
6 7279 2618
6 2873 4503
6 7550 4177
6 4489 1096
6 9535 4296
6 840 420
6 8640 1206
6 3386 3446
6 5033 2146
6 520 2354
6 3917 4063
6 9608 971
6 3313 3938
6 9951 3078
6 9179 2251
6 6546 4381
6 1879 472
6 256 4384
6 8586 3472
7 2558 969
7 9862 2205
7 4820 3143
7 3801 3916
7 6181 3550
7 5699 4599
7 1261 370
7 8931 3898
7 8267 2401
7 4494 3269
7 8170 1231
7 7183 3930
7 1066 4406
7 4579 4259
7 7387 2792
7 7196 1139
8 7453 1170
8 2938 4202
8 3058 4603
8 9684 814
8 8331 1487
8 1689 3201
8 6776 2924
8 7306 3880
8 1550 4492
8 5989 1433
8 5328 1314
8 4112 3738
8 3885 3876
8 1130 3312
8 8770 1251
8 3737 4257
8 6564 3744
8 5966 1220
8 6171 3610
8 8234 1751
8 3432 4748
8 2867 253
8 6629 4856
8 6330 4298
8 3002 1607
8 4916 2375
8 6626 4450
8 8429 2140
8 1909 2850
8 936 3960
8 9496 4322
8 9780 3055
8 4734 1420
8 266 1572
8 3230 354
8 6156 4264
8 1382 1689
8 7336 3832
8 6382 396
8 5454 1203
8 463 4285
8 3874 3703
8 6125 2786
8 8077 3597
8 1517 728
8 9935 2234
8 4428 868
8 5920 852
9 8665 4987
9 9621 192
9 1992 4992
9 5691 1672
9 8671 4621
9 9176 2933
9 7014 3968
9 1468 4366
9 8605 3496
9 321 2609
9 1009 3746
9 6288 3621
9 3605 959
9 1233 1280
9 1330 2010
9 5063 3227
9 3767 3801
9 3507 1454
9 4466 4165
9 5063 958
9 7825 4115
9 5741 3353
9 6301 3668
9 4981 4511
9 7170 3434
9 3743 3245
9 2719 2714
9 460 797
9 5866 4244
9 5182 365
9 8473 4484
9 6851 354
9 2479 4341
9 2374 473
9 1740 1698
9 6353 1013
9 2414 1450
9 3294 2400
9 3565 3144
9 410 4638
9 2932 166
9 601 4686
9 84 1370
9 445 4041
9 2827 601
9 5327 2206
10 3965 4093
10 5518 1400
10 6204 4785
10 7061 3899
10 6179 3352
10 6510 2587
10 1347 232
10 6828 2056
10 7952 519
10 1474 1759
10 4117 2797
10 7266 1474
10 664 2941
10 4122 2303
10 4703 2701
10 2053 4724
10 958 2969
10 6698 3119
10 4631 2449
10 6557 1939
10 6483 1204
10 7781 2951
10 3902 708
10 1752 1499
10 2553 205
10 2371 826
10 4279 3156
10 6444 1025
10 2719 1501
10 5015 2459
11 9858 2357
11 1094 1047
11 3835 3661
11 7301 401
11 2673 3829
11 5826 4109
11 4370 2728
11 834 476
11 2155 2123
11 1769 46
11 6247 318
11 3702 4668
11 5153 1801
11 7200 1203
11 4412 1588
11 4654 3673
11 6898 1989
11 3193 946
11 2182 4962
11 7790 3386
11 9245 2467
11 3356 2477
11 9129 2479
11 50 4961
11 9652 1547
11 2674 4064
11 6440 74
