5000 40000
1 2111 204
1 1895 321
1 2287 1572
1 703 780
1 4322 1342
1 2333 1083
1 3606 1591
1 4746 724
1 3909 1523
1 2481 760
1 4757 1111
1 3854 1170
2 3040 773
2 135 1002
2 1803 1745
2 1157 567
2 911 1117
2 1559 1164
2 1432 1466
2 4830 1161
2 1353 1014
2 11 481
2 523 1755
2 855 644
2 2841 1043
2 3908 1786
2 730 1230
2 4401 1521
3 14 1947
3 383 1523
3 2952 456
3 4199 563
3 3028 1709
3 3687 1734
3 3165 517
3 2399 1362
3 2760 1955
3 4376 238
3 2171 1618
3 2065 1943
3 4834 1313
3 4679 656
3 1223 1556
3 4013 1751
3 3712 505
3 3467 400
3 1774 1892
3 4390 729
3 438 1509
3 3362 859
3 2618 1700
3 1584 1375
4 2368 745
4 267 1946
4 4678 919
4 466 864
4 4537 345
4 1611 1967
4 2839 1416
4 4101 1203
4 3032 239
4 2641 1546
4 360 93
4 734 155
4 297 1012
4 3031 218
4 1376 103
4 3089 41
4 2938 491
4 1094 9
4 1477 890
4 1830 1346
5 1407 490
5 1891 476
5 802 376
5 4098 987
5 4136 1812
5 2093 154
5 622 308
5 437 649
5 59 1173
5 3124 1130
5 4684 1677
5 2963 447
5 276 848
5 3208 240
5 3725 212
5 1916 112
5 3150 1038
5 4610 1302
5 2092 319
5 1970 1756
5 3906 318
5 3286 854
5 4412 184
5 1417 45
6 2034 108
6 4917 1203
6 558 58
6 534 286
7 578 820
7 4178 678
7 1282 1936
7 1280 581
7 2594 639
7 2720 755
7 3395 50
7 2067 1859
8 2890 1372
8 474 1652
8 2624 1850
8 3634 1074
8 2387 1365
8 4379 1237
8 4348 1670
8 4567 731
8 2633 493
8 4764 1937
8 1571 1364
8 3888 233
9 984 1585
9 2715 416
9 3395 1101
9 4439 1128
9 1129 1168
9 2930 216
9 4423 751
9 2886 471
9 1918 589
9 82 348
9 3317 1164
9 1703 1585
10 4790 1113
10 3685 1951
10 700 815
10 2326 86
10 4238 269
10 482 307
10 958 914
10 2269 578
10 2788 1530
10 3001 1501
10 2866 593
10 4982 234
10 875 1668
10 3502 675
10 4281 6
10 2459 311
10 875 1182
10 227 610
10 722 1028
10 3448 872
10 3566 162
10 3412 125
10 3732 637
10 1910 1374
10 1662 663
10 3751 1569
10 1681 1634
10 2419 1199
10 2220 1969
10 2310 1528
10 2029 260
10 4878 1619
10 3154 39
10 792 501
11 93 1572
11 1246 369
11 1227 1811
11 4581 1644
11 356 361
11 1439 884
11 2075 1669
11 179 1928
11 4494 1084
11 1488 1345
11 152 1552
11 4431 323
11 4772 216
12 4462 716
12 1793 842
12 406 908
12 1096 1725
12 373 1053
12 586 635
12 1566 1748
12 896 363
12 1335 1476
12 2579 49
12 421 1355
12 3853 1565
12 3442 1499
12 975 734
12 3012 1837
12 4587 1624
12 4819 1398
12 1622 924
12 1074 45
12 4554 656
13 509 1170
13 1631 613
13 1779 574
13 4745 1421
13 2405 931
13 538 225
13 889 844
13 304 1753
13 1779 1144
13 4919 241
13 2501 1269
13 3250 1803
13 1217 860
13 888 1787
13 4921 233
13 461 453
13 3916 359
13 1016 108
14 2800 896
14 2910 1431
14 3707 875
14 3775 785
14 4024 249
14 1883 1461
14 780 1713
14 3742 1562
14 292 723
14 3454 123
14 4773 562
14 1843 1465
14 1499 1995
14 469 846
14 2568 1029
14 749 655
14 1749 529
14 469 1254
14 672 1414
15 2446 1235
15 4208 1938
15 1378 89
15 4169 1630
15 4385 1505
15 4998 1983
15 760 199
15 1814 1096
15 1341 1417
15 3323 958
15 2677 1107
15 1636 1615
15 4161 555
15 2816 1912
15 1627 1620
15 2494 1863
15 1618 1187
15 295 750
15 4709 1672
15 3358 1106
15 3426 675
15 3732 1595
15 678 1002
15 1449 171
15 2320 881
15 1753 1291
15 3923 1334
15 2542 1344
16 226 399
16 1010 1830
16 3188 1648
16 3025 1097
16 4484 758
16 3467 414
16 4030 593
16 3979 515
16 2364 681
16 1520 162
16 1736 867
16 1966 1600
16 3127 1954
16 1182 671
16 1385 626
16 4699 779
16 1199 737
16 3862 538
17 1202 309
17 2831 1857
17 303 38
17 2358 1273
17 324 127
17 3556 306
17 3139 939
17 1670 1710
17 1225 736
17 2405 807
17 3083 1595
17 3897 1
18 736 717
18 947 579
18 56 1404
18 3053 1603
18 4979 848
18 2127 1285
18 3118 955
18 1004 40
18 2989 606
18 576 305
18 3875 780
18 600 1529
18 4406 1311
18 4454 1008
18 2336 831
18 850 26
18 3126 414
18 189 1645
18 761 1953
18 4228 1007
19 1360 751
19 124 1564
19 2943 1080
19 675 696
19 3830 849
19 556 1456
19 97 960
19 1016 90
19 993 1380
19 128 1751
19 3096 1063
19 1102 790
19 182 1547
19 3980 1372
19 4782 1272
19 1508 939
19 2122 82
19 1934 1446
19 3669 815
19 3467 162
20 2567 1940
20 2043 1910
20 2791 1026
20 2631 1574
20 2842 202
20 1283 978
20 3924 903
20 4632 208
20 964 1309
20 806 655
20 3416 962
20 4702 996
20 678 1730
20 1242 1990
20 4744 1928
20 3517 1174
20 4608 124
20 3046 1524
21 4240 1046
21 2095 548
21 4338 411
21 2710 72
21 792 669
21 138 1389
21 835 1014
21 2151 163
21 2103 500
21 1914 973
21 2610 1366
21 4031 1974
22 2277 1566
22 100 1639
22 1388 1597
22 3483 1485
22 4687 1313
22 1124 1926
22 3222 373
22 2341 258
22 1093 943
22 358 1530
22 4380 1355
22 1796 918
22 3765 1693
22 2232 276
22 1092 327
22 3712 1900
22 3237 1960
22 2633 217
22 2891 555
22 4872 1425
23 597 1582
23 3847 1404
23 1142 447
23 4145 1806
