100 4202
1 2 6
1 3 2
1 4 9
1 5 9
1 6 4
1 7 1
1 8 2
1 9 4
1 10 5
1 11 3
1 12 1
1 13 2
1 14 5
1 15 4
1 16 4
1 17 3
1 18 6
1 19 1
1 20 8
1 21 3
1 22 9
1 23 7
1 24 3
1 25 10
1 26 1
1 27 5
1 28 3
1 29 10
1 30 4
1 31 7
1 32 6
1 33 7
1 34 2
1 35 8
1 36 3
1 37 3
1 38 8
1 39 3
1 40 4
1 42 6
1 43 2
1 45 10
1 46 10
1 47 2
1 49 10
1 50 7
1 51 10
1 52 4
1 54 9
1 55 5
1 58 5
1 59 10
1 60 9
1 61 3
1 62 2
1 63 4
1 64 6
1 66 10
1 67 10
1 68 4
1 69 9
1 70 5
1 71 10
1 72 1
1 73 7
1 74 6
1 75 9
1 76 4
1 77 6
1 78 7
1 80 8
1 81 7
1 83 5
1 84 2
1 85 6
1 88 6
1 89 2
1 90 3
1 91 4
1 92 7
1 93 4
1 94 3
1 95 4
1 96 6
1 97 7
1 98 7
1 99 9
1 100 4
2 3 5
2 4 5
2 5 10
2 6 5
2 7 8
2 8 6
2 9 5
2 10 1
2 11 9
2 12 3
2 13 4
2 14 4
2 15 9
2 16 4
2 17 4
2 18 3
2 19 3
2 20 1
2 21 4
2 22 6
2 23 3
2 24 3
2 25 9
2 26 3
2 28 2
2 29 10
2 30 5
2 31 2
2 32 9
2 34 4
2 35 10
2 37 6
2 38 5
2 39 10
2 41 4
2 42 3
2 43 3
2 44 5
2 46 6
2 47 8
2 48 1
2 49 9
2 50 3
2 52 4
2 53 5
2 54 2
2 55 2
2 58 6
2 59 1
2 60 4
2 61 10
2 63 10
2 64 1
2 65 4
2 66 9
2 67 10
2 68 2
2 70 6
2 71 9
2 72 9
2 73 2
2 75 2
2 76 1
2 77 5
2 78 9
2 79 7
2 80 9
2 82 4
2 83 9
2 84 9
2 85 8
2 86 6
2 87 5
2 88 9
2 89 5
2 90 9
2 91 7
2 93 8
2 94 8
2 95 7
2 96 10
2 97 1
2 98 5
2 99 9
2 100 8
3 4 4
3 5 9
3 6 1
3 7 7
3 8 6
3 9 2
3 11 7
3 12 1
3 13 8
3 14 3
3 15 10
3 16 7
3 17 8
3 18 9
3 19 5
3 20 9
3 23 3
3 24 1
3 25 3
3 26 9
3 27 7
3 28 1
3 29 10
3 30 8
3 31 10
3 33 2
3 34 6
3 35 8
3 36 7
3 37 9
3 38 7
3 40 2
3 41 5
3 43 4
3 44 2
3 45 9
3 46 6
3 47 3
3 48 4
3 49 1
3 50 10
3 51 4
3 53 3
3 54 3
3 55 3
3 56 6
3 57 4
3 59 5
3 60 4
3 61 3
3 62 7
3 63 9
3 64 6
3 65 1
3 66 6
3 67 7
3 69 4
3 71 10
3 72 3
3 73 5
3 74 1
3 75 7
3 76 1
3 77 9
3 78 7
3 79 1
3 80 10
3 81 3
3 83 8
3 84 7
3 85 3
3 86 8
3 87 8
3 88 7
3 89 1
3 90 6
3 91 2
3 94 2
3 95 9
3 96 7
3 97 10
3 98 8
3 99 7
3 100 5
4 5 5
4 6 5
4 7 7
4 8 5
4 9 6
4 10 6
4 12 1
4 13 6
4 14 10
4 15 1
4 16 7
4 17 2
4 18 8
4 19 7
4 20 8
4 21 10
4 22 5
4 23 2
4 24 4
4 25 4
4 26 7
4 27 8
4 28 1
4 29 5
4 30 4
4 31 5
4 33 7
4 34 4
4 35 8
4 36 6
4 37 5
4 38 6
4 40 10
4 41 7
4 42 3
4 43 8
4 44 6
4 45 1
4 46 8
4 47 5
4 48 8
4 49 8
4 50 2
4 52 7
4 53 7
4 54 5
4 55 9
4 56 3
4 58 5
4 59 6
4 60 6
4 61 10
4 62 5
4 63 8
4 64 6
4 65 4
4 66 8
4 67 10
4 68 2
4 69 7
4 72 6
4 73 8
4 74 5
4 75 6
4 76 7
4 77 3
4 78 7
4 79 3
4 80 2
4 81 9
4 82 3
4 83 6
4 84 8
4 85 2
4 86 7
4 87 6
4 89 1
4 90 7
4 91 1
4 93 1
4 94 4
4 95 2
4 96 4
4 97 9
4 100 5
5 7 3
5 9 1
5 10 6
5 13 10
5 14 8
5 15 7
5 16 4
5 17 6
5 18 8
5 20 7
5 21 4
5 22 5
5 23 7
5 25 2
5 26 1
5 27 2
5 28 4
5 31 9
5 32 6
5 33 5
5 34 7
5 35 8
5 36 9
5 37 8
5 38 1
5 39 7
5 40 2
5 41 3
5 42 10
5 43 1
5 44 1
5 46 1
5 47 4
5 48 9
5 50 7
5 51 10
5 52 10
5 53 10
5 55 6
5 56 2
5 57 1
5 58 4
5 59 5
5 61 4
5 63 2
5 64 6
5 65 4
5 67 5
5 68 10
5 70 3
5 71 2
5 72 7
5 73 2
5 74 3
5 76 4
5 77 2
5 78 5
5 79 4
5 80 9
5 81 3
5 82 7
5 83 4
5 84 7
5 85 10
5 87 2
5 88 8
5 89 6
5 90 7
5 92 7
5 93 10
5 94 9
5 95 10
5 97 9
5 99 8
6 7 8
6 8 4
6 9 7
6 10 3
6 11 6
6 12 7
6 13 7
6 14 2
6 15 5
6 16 5
6 17 9
6 18 10
6 19 10
6 22 10
6 24 4
6 25 4
6 26 8
6 27 6
6 31 8
6 32 6
6 33 4
6 35 2
6 36 6
6 37 5
6 38 5
6 39 8
6 40 4
6 41 7
6 42 8
6 43 6
6 44 10
6 45 3
6 47 1
6 48 3
6 49 3
6 50 1
6 51 2
6 52 10
6 53 6
6 54 8
6 55 3
6 56 1
6 57 4
6 58 2
6 59 10
6 60 6
6 61 8
6 62 3
6 63 5
6 65 8
6 66 7
6 67 6
6 68 8
6 69 6
6 70 5
6 71 5
6 73 5
6 74 9
6 75 8
6 76 10
6 77 5
6 79 8
6 80 8
6 81 9
6 83 2
6 84 5
6 85 9
6 86 8
6 87 5
6 88 8
6 90 9
6 91 3
6 92 7
6 93 10
6 94 6
6 95 6
6 96 8
6 98 4
6 99 3
6 100 4
7 8 1
7 9 10
7 10 10
7 11 2
7 12 7
7 13 5
7 15 7
7 16 7
7 17 1
7 18 6
7 20 10
7 21 2
7 23 9
7 24 6
7 25 10
7 26 6
7 27 10
7 28 9
7 29 6
7 30 1
7 31 10
7 32 10
7 33 10
7 34 10
7 36 10
7 37 7
7 38 10
7 39 7
7 40 4
7 41 10
7 42 1
7 43 1
7 44 9
7 45 3
7 46 5
7 47 1
7 48 7
7 49 2
7 50 4
7 52 3
7 53 10
7 54 7
7 56 7
7 57 2
7 58 10
