20 114
1 9 41
1 16 50
1 13 50
1 19 17
1 2 58
1 19 7
1 12 24
1 4 95
1 4 58
1 12 36
1 10 38
1 19 13
2 18 95
2 3 43
2 6 26
2 4 64
2 12 10
2 18 99
2 18 67
2 19 59
3 14 52
3 7 19
3 18 74
3 15 52
3 19 40
3 14 79
3 8 18
4 5 83
4 11 59
4 10 22
4 19 34
4 6 88
4 13 42
4 13 7
4 19 16
4 19 40
5 15 8
5 12 4
5 13 79
5 19 20
5 18 36
6 18 20
6 14 77
6 12 35
6 12 6
6 7 11
6 15 4
6 8 0
6 18 75
6 19 49
6 20 27
6 15 28
7 18 65
7 15 79
7 15 25
7 19 70
8 11 97
8 12 35
8 14 41
8 12 90
9 11 84
9 11 44
9 14 57
9 20 34
9 15 17
9 15 46
9 18 26
10 18 43
10 12 95
10 12 28
10 11 88
10 14 20
10 11 81
11 20 30
11 15 29
11 15 92
11 15 91
11 19 88
11 15 86
11 18 51
11 16 32
12 18 7
12 20 52
12 15 46
12 15 67
12 14 84
12 16 33
12 19 14
12 19 6
12 17 23
12 18 79
13 15 73
13 14 10
13 20 82
13 15 73
14 19 63
14 20 92
14 15 2
14 19 83
15 18 89
15 17 34
15 18 91
15 20 22
15 17 84
15 20 79
15 18 51
16 18 38
17 20 14
17 19 39
17 20 95
18 20 81
18 19 99
18 19 60
19 20 37
