50 404
1 29 75
1 20 29
1 31 62
1 25 5
1 27 32
1 33 77
1 11 17
1 17 29
1 16 23
1 7 45
1 33 7
1 11 57
1 40 64
1 25 21
1 4 54
1 44 28
2 29 65
2 9 65
2 39 33
2 40 36
2 44 42
2 47 65
2 46 62
2 13 16
2 37 11
2 4 20
2 15 25
2 28 28
2 48 18
2 26 19
2 26 49
2 50 97
3 42 8
3 25 9
3 32 52
3 39 43
3 5 97
3 17 67
3 34 74
3 38 71
3 29 8
3 50 1
3 29 58
3 47 44
3 43 80
3 49 45
3 49 55
3 27 56
3 44 16
3 39 98
3 27 42
3 5 78
4 44 84
4 49 48
4 29 16
4 9 20
4 11 43
4 43 47
4 40 25
4 11 80
4 22 35
4 21 90
4 41 39
4 24 29
4 14 75
4 11 39
4 5 75
4 26 76
4 30 6
4 14 14
4 29 42
4 29 21
4 35 59
4 46 48
5 43 49
5 34 64
5 30 47
5 29 50
5 25 24
5 27 85
5 42 29
5 20 52
5 50 39
5 40 20
5 6 47
5 30 92
5 47 12
5 24 1
5 14 66
5 39 13
5 23 17
5 25 39
5 44 6
5 36 73
5 40 75
5 47 92
5 38 76
6 11 84
6 34 17
6 38 70
6 9 71
6 50 84
6 40 7
6 40 34
6 20 45
6 8 18
6 40 71
6 12 77
6 21 84
6 43 51
6 10 54
6 30 0
7 31 97
7 18 93
7 39 94
7 18 1
7 18 84
7 47 30
7 44 54
7 47 49
7 42 84
7 17 20
7 9 4
7 47 62
7 11 78
7 19 37
7 17 97
8 28 40
8 18 31
8 39 96
8 12 8
8 25 65
8 15 41
8 11 7
8 11 59
8 31 5
9 45 46
9 16 93
9 50 28
9 43 1
9 35 79
9 32 74
9 35 57
9 29 95
10 19 75
10 31 40
10 18 81
10 46 5
10 16 13
10 22 11
10 25 74
10 11 6
10 14 10
10 22 56
10 35 39
11 14 60
11 26 60
11 26 38
11 16 16
11 45 49
11 26 82
11 26 19
11 17 26
11 15 41
11 24 88
11 49 91
11 36 71
11 32 29
11 39 96
11 38 82
11 24 40
11 25 88
11 24 15
11 35 66
11 21 12
11 26 58
11 33 20
12 31 70
12 41 45
12 17 69
12 16 62
12 36 49
12 27 47
12 16 67
12 21 77
12 47 32
12 43 63
12 28 77
13 29 27
13 14 28
13 32 23
13 18 64
13 26 37
13 30 19
13 43 41
13 30 81
13 18 98
13 18 18
13 28 90
13 20 49
13 23 62
13 16 96
13 43 13
14 40 17
14 25 42
14 45 82
14 45 13
14 20 1
14 19 62
14 38 83
14 41 70
14 37 68
14 32 30
15 29 72
15 45 63
15 47 26
15 39 61
15 42 33
15 35 20
15 22 72
15 46 1
15 26 34
16 50 9
16 48 43
16 29 88
16 25 9
16 18 31
16 35 86
16 25 5
16 47 76
16 49 4
16 25 30
16 24 92
16 30 32
16 43 41
17 26 56
17 44 43
17 28 38
17 30 94
17 24 37
17 24 9
17 43 88
17 49 21
17 40 40
17 22 86
17 20 19
17 38 62
18 50 62
18 29 41
18 34 66
18 39 14
18 20 70
18 44 39
18 40 69
18 37 45
18 28 54
18 36 61
18 41 74
18 46 60
18 33 39
19 44 36
19 35 97
19 30 53
19 50 54
19 21 68
20 32 46
20 27 8
20 34 48
20 23 9
20 46 87
20 40 2
20 36 24
20 22 10
20 22 32
20 48 9
20 33 17
21 31 61
21 44 7
21 30 15
21 48 82
21 48 85
21 33 83
21 50 86
21 39 1
21 47 75
21 41 66
21 26 85
21 35 64
21 30 83
21 41 64
22 23 33
22 25 92
22 43 63
22 30 75
22 36 55
22 34 67
22 50 60
23 39 65
23 48 31
23 45 61
23 30 31
23 46 11
23 29 85
23 31 14
23 50 61
23 28 52
23 45 38
23 48 48
23 25 94
23 30 97
23 37 12
24 36 11
24 45 35
25 31 57
25 37 49
25 49 20
25 31 61
25 31 29
25 35 13
25 46 75
25 44 86
26 35 16
26 33 95
26 42 34
26 34 84
26 50 37
26 35 78
27 35 3
27 39 25
27 48 88
27 36 44
27 31 92
27 47 78
28 45 86
28 29 40
28 30 62
28 48 84
28 31 84
28 29 15
28 39 15
28 43 89
28 44 0
29 47 65
29 50 11
29 30 15
29 32 6
30 39 72
30 39 38
30 36 71
30 42 81
30 47 30
30 48 73
30 45 0
30 41 1
31 33 32
31 39 34
31 44 76
31 36 87
31 36 85
31 37 99
31 34 7
31 35 95
32 42 69
32 43 74
32 35 51
32 39 38
32 35 37
33 37 43
33 46 91
33 35 30
33 39 78
34 39 7
34 44 65
35 46 27
35 39 44
35 45 56
35 43 45
35 46 78
36 44 16
36 47 5
36 39 99
37 40 48
37 47 44
37 39 31
38 43 51
38 44 15
39 45 40
39 42 56
39 49 85
39 48 92
39 45 33
39 40 17
40 46 57
40 44 97
41 45 50
43 45 89
43 46 12
43 44 62
44 45 52
44 47 6
45 47 51
45 48 85
46 48 21
48 50 72
